k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.04639546086422576,5,20,0:20; 1:5,3
3,0.06609190635783506,4,15,0:4; 1:15; 2:6,3
4,0.0799965730617144,3,8,0:8; 1:3; 2:7; 3:7,5
5,0.08021082360768447,3,8,0:4; 1:6; 2:4; 3:8; 4:3,5
6,0.09149980582812751,3,5,0:5; 1:4; 2:4; 3:3; 4:4; 5:5,5
7,0.08645699082202787,1,5,0:5; 1:4; 2:4; 3:3; 4:3; 5:5; 6:1,5
8,0.1063386679557364,2,4,0:3; 1:2; 2:4; 3:4; 4:3; 5:4; 6:2; 7:3,4
