k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.025277001904373896,36,39,0:39; 1:36,18
3,0.02686909385314222,12,33,0:30; 1:12; 2:33,18
4,0.029370716530987884,9,29,0:9; 1:18; 2:29; 3:19,28
5,0.042632749352709526,2,28,0:9; 1:19; 2:28; 3:17; 4:2,28
6,0.049238518394729605,2,19,0:5; 1:18; 2:17; 3:14; 4:2; 5:19,38
7,0.04396050357751669,3,18,0:11; 1:12; 2:6; 3:8; 4:3; 5:17; 6:18,33
8,0.0696295873923766,2,19,0:19; 1:15; 2:3; 3:5; 4:16; 5:3; 6:12; 7:2,36
