k,average_silhouette,min_cluster_size,max_cluster_size,max_cluster_ratio,cluster_sizes,negative_silhouette_count,negative_silhouette_ratio,close_to_best,passes_size_floor,passes_balance_floor,passes_negative_floor,selection_candidate
2,0.13082739423243922,2,15,0.8823529411764706,0:15; 1:2,1,0.058823529411764705,True,False,True,True,False
3,0.13970676264012424,3,11,0.6470588235294118,0:11; 1:3; 2:3,0,0.0,True,True,True,True,True
