k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.02354339788786872,14,28,0:28; 1:14,7
3,0.029957364623290673,11,17,0:11; 1:14; 2:17,7
4,0.03714793753083981,4,17,0:16; 1:17; 2:4; 3:5,16
5,0.049687494995645676,4,13,0:5; 1:4; 2:13; 3:8; 4:12,12
