k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.19485985884757293,2,9,0:9; 1:2,2
3,0.21385427565872892,2,6,0:3; 1:2; 2:6,0
4,0.29325588601980307,2,5,0:5; 1:2; 2:2; 3:2,0
5,0.2960960828064928,2,3,0:3; 1:2; 2:2; 3:2; 4:2,0
6,0.2710490092469064,1,2,0:2; 1:2; 2:2; 3:2; 4:1; 5:2,0
7,0.23660735994904447,1,2,0:2; 1:2; 2:2; 3:1; 4:2; 5:1; 6:1,0
8,0.1981183389599931,1,2,0:1; 1:2; 2:2; 3:2; 4:1; 5:1; 6:1; 7:1,0
