k,average_silhouette,min_cluster_size,max_cluster_size,max_cluster_ratio,cluster_sizes,negative_silhouette_count,negative_silhouette_ratio,close_to_best,passes_size_floor,passes_balance_floor,passes_negative_floor,selection_candidate
2,0.0260410056520315,32,43,0.5733333333333334,0:43; 1:32,15,0.2,False,True,True,True,False
3,0.030672485701897005,18,35,0.4666666666666667,0:22; 1:35; 2:18,19,0.25333333333333335,False,True,True,True,False
4,0.035028762914286866,10,27,0.36,0:15; 1:23; 2:27; 3:10,30,0.4,False,True,True,True,False
5,0.0463671297323451,9,23,0.30666666666666664,0:18; 1:10; 2:15; 3:9; 4:23,20,0.26666666666666666,True,True,True,True,True
6,0.03798362129980747,10,20,0.26666666666666666,0:20; 1:11; 2:11; 3:12; 4:10; 5:11,25,0.3333333333333333,True,True,True,True,True
