k,average_silhouette,min_cluster_size,max_cluster_size,max_cluster_ratio,cluster_sizes,negative_silhouette_count,negative_silhouette_ratio,close_to_best,passes_size_floor,passes_balance_floor,passes_negative_floor,selection_candidate
2,0.1236323484700986,3,17,0.85,0:17; 1:3,0,0.0,False,False,False,True,False
3,0.18977221556777862,2,15,0.75,0:3; 1:15; 2:2,1,0.05,True,False,False,True,False
4,0.21991565552979359,2,12,0.6,0:3; 1:2; 2:3; 3:12,3,0.15,True,False,True,True,False
