k,average_silhouette,min_cluster_size,max_cluster_size,max_cluster_ratio,cluster_sizes,negative_silhouette_count,negative_silhouette_ratio,close_to_best,passes_size_floor,passes_balance_floor,passes_negative_floor,selection_candidate
2,0.034245025899186245,21,46,0.6865671641791045,0:46; 1:21,3,0.04477611940298507,False,True,False,True,False
3,0.05604412624836278,3,44,0.6567164179104478,0:44; 1:20; 2:3,21,0.31343283582089554,False,False,False,True,False
4,0.08175398217234685,2,42,0.6268656716417911,0:42; 1:20; 2:3; 3:2,27,0.40298507462686567,True,False,False,False,False
5,0.061074504524040785,3,29,0.43283582089552236,0:4; 1:20; 2:3; 3:29; 4:11,35,0.5223880597014925,False,False,True,False,False
6,0.0951085680265238,2,37,0.5522388059701493,0:37; 1:3; 2:2; 3:7; 4:4; 5:14,33,0.4925373134328358,True,False,True,False,False
