space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
umap,dbscan_eps0.2958_ms3,dbscan,27,75,0.26595744680851063,0.7340425531914894,3,38,0.10319829732179642,0.295767,3.0,,False
umap,dbscan_eps0.3166_ms3,dbscan,27,69,0.24468085106382978,0.7553191489361702,3,38,0.10786214470863342,0.316555,3.0,,False
umap,dbscan_eps0.3278_ms3,dbscan,24,65,0.23049645390070922,0.7695035460992907,3,38,0.10125637799501419,0.327766,3.0,,False
umap,dbscan_eps0.3494_ms3,dbscan,23,58,0.20567375886524822,0.7943262411347518,3,39,0.09586819261312485,0.349428,3.0,,False
umap,dbscan_eps0.3631_ms3,dbscan,25,42,0.14893617021276595,0.851063829787234,3,42,0.07917764037847519,0.363055,3.0,,False
umap,dbscan_eps0.3797_ms3,dbscan,22,35,0.12411347517730496,0.875886524822695,3,45,0.06551530957221985,0.379695,3.0,,False
umap,dbscan_eps0.3894_ms3,dbscan,20,30,0.10638297872340426,0.8936170212765957,3,45,0.05733013153076172,0.389411,3.0,,False
umap,dbscan_eps0.4082_ms3,dbscan,18,26,0.09219858156028368,0.9078014184397163,3,45,0.08996187150478363,0.408169,3.0,,False
umap,dbscan_eps0.4256_ms3,dbscan,15,24,0.0851063829787234,0.9148936170212766,3,45,0.0812574103474617,0.425641,3.0,,False
umap,dbscan_eps0.4452_ms3,dbscan,13,19,0.0673758865248227,0.9326241134751773,3,46,0.054290831089019775,0.445187,3.0,,False
umap,dbscan_eps0.4796_ms3,dbscan,7,15,0.05319148936170213,0.9468085106382979,6,83,0.02089248225092888,0.479648,3.0,,False
umap,dbscan_eps0.2374_ms5,dbscan,15,163,0.5780141843971631,0.4219858156028369,5,20,0.19582191109657288,0.237385,5.0,,True
umap,dbscan_eps0.2435_ms5,dbscan,15,149,0.5283687943262412,0.4716312056737589,5,34,0.18554268777370453,0.243494,5.0,,False
umap,dbscan_eps0.2506_ms5,dbscan,16,141,0.5,0.5,5,35,0.18067136406898499,0.25057,5.0,,False
umap,dbscan_eps0.2576_ms5,dbscan,16,139,0.4929078014184397,0.5070921985815603,5,35,0.1795562207698822,0.257615,5.0,,False
umap,dbscan_eps0.2660_ms5,dbscan,17,131,0.4645390070921986,0.5354609929078015,5,36,0.17757964134216309,0.266048,5.0,,False
umap,dbscan_eps0.2749_ms5,dbscan,16,129,0.4574468085106383,0.5425531914893617,5,37,0.18036408722400665,0.274886,5.0,,False
umap,dbscan_eps0.2873_ms5,dbscan,17,123,0.43617021276595747,0.5638297872340425,5,37,0.17347344756126404,0.287261,5.0,,False
umap,dbscan_eps0.2998_ms5,dbscan,17,118,0.41843971631205673,0.5815602836879432,5,37,0.16602985560894012,0.299839,5.0,,False
umap,dbscan_eps0.3046_ms5,dbscan,17,117,0.4148936170212766,0.5851063829787234,5,38,0.16573834419250488,0.304555,5.0,,False
umap,dbscan_eps0.3181_ms5,dbscan,16,115,0.4078014184397163,0.5921985815602837,5,38,0.1604679524898529,0.318143,5.0,,False
umap,dbscan_eps0.3259_ms5,dbscan,16,111,0.39361702127659576,0.6063829787234043,5,38,0.15690970420837402,0.325892,5.0,,False
umap,dbscan_eps0.3435_ms5,dbscan,17,101,0.35815602836879434,0.6418439716312057,5,38,0.13452063500881195,0.34354,5.0,,False
umap,dbscan_eps0.3515_ms5,dbscan,18,85,0.30141843971631205,0.6985815602836879,5,40,0.11411353200674057,0.351503,5.0,,False
umap,dbscan_eps0.3630_ms5,dbscan,19,76,0.2695035460992908,0.7304964539007093,5,41,0.1043056845664978,0.362977,5.0,,False
umap,dbscan_eps0.3815_ms5,dbscan,19,62,0.2198581560283688,0.7801418439716312,5,44,0.0913177952170372,0.381454,5.0,,False
umap,dbscan_eps0.4011_ms5,dbscan,20,50,0.1773049645390071,0.8226950354609929,4,44,0.07982392609119415,0.401137,5.0,,False
umap,dbscan_eps0.4098_ms5,dbscan,19,46,0.16312056737588654,0.8368794326241135,4,45,0.07178966701030731,0.40982,5.0,,False
umap,dbscan_eps0.4233_ms5,dbscan,18,40,0.14184397163120568,0.8581560283687943,4,45,0.06117323413491249,0.423338,5.0,,False
umap,dbscan_eps0.4378_ms5,dbscan,17,35,0.12411347517730496,0.875886524822695,4,45,0.05206599831581116,0.437817,5.0,,False
umap,dbscan_eps0.4555_ms5,dbscan,16,28,0.09929078014184398,0.900709219858156,5,45,0.0415998250246048,0.455518,5.0,,False
umap,dbscan_eps0.4668_ms5,dbscan,15,26,0.09219858156028368,0.9078014184397163,5,45,0.03672444075345993,0.466766,5.0,,False
umap,dbscan_eps0.4745_ms5,dbscan,15,23,0.08156028368794327,0.9184397163120568,4,46,0.03239705413579941,0.474485,5.0,,False
umap,dbscan_eps0.4826_ms5,dbscan,14,19,0.0673758865248227,0.9326241134751773,6,45,0.033127766102552414,0.482649,5.0,,False
umap,dbscan_eps0.4960_ms5,dbscan,9,17,0.06028368794326241,0.9397163120567376,6,61,0.03988368809223175,0.49605,5.0,,False
umap,dbscan_eps0.5211_ms5,dbscan,7,13,0.04609929078014184,0.9539007092198581,6,94,0.016073264181613922,0.521052,5.0,,False
umap,dbscan_eps0.5377_ms5,dbscan,4,10,0.03546099290780142,0.9645390070921985,10,196,-0.019723819568753242,0.537736,5.0,,False
umap,dbscan_eps0.5506_ms5,dbscan,4,8,0.028368794326241134,0.9716312056737588,10,198,-0.02040383778512478,0.550589,5.0,,False
umap,dbscan_eps0.5741_ms5,dbscan,4,4,0.014184397163120567,0.9858156028368794,10,202,-0.02224421314895153,0.574105,5.0,,False
umap,dbscan_eps0.3478_ms8,dbscan,9,160,0.5673758865248227,0.4326241134751773,8,35,0.18887002766132355,0.34777,8.0,,False
umap,dbscan_eps0.3538_ms8,dbscan,10,148,0.524822695035461,0.475177304964539,8,37,0.17450125515460968,0.35379,8.0,,False
umap,dbscan_eps0.3672_ms8,dbscan,10,143,0.5070921985815603,0.4929078014184397,8,40,0.16485552489757538,0.36724,8.0,,False
umap,dbscan_eps0.3752_ms8,dbscan,9,132,0.46808510638297873,0.5319148936170213,8,42,0.15361979603767395,0.375203,8.0,,False
umap,dbscan_eps0.3846_ms8,dbscan,9,131,0.4645390070921986,0.5354609929078015,8,42,0.15187302231788635,0.38457,8.0,,False
