k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.03298401797090735,22,45,0:45; 1:22,7
3,0.05426329838243463,3,39,0:3; 1:25; 2:39,25
4,0.06107706153369071,3,38,0:14; 1:38; 2:3; 3:12,16
5,0.08485093326854323,2,39,0:14; 1:3; 2:9; 3:2; 4:39,30
6,0.09381261081458875,2,36,0:12; 1:36; 2:5; 3:3; 4:2; 5:9,21
7,0.10074050459142833,2,21,0:21; 1:3; 2:11; 3:2; 4:17; 5:5; 6:8,22
8,0.11173178907508492,2,20,0:13; 1:13; 2:3; 3:5; 4:3; 5:20; 6:2; 7:8,31
