k,average_silhouette,min_cluster_size,max_cluster_size,max_cluster_ratio,cluster_sizes,negative_silhouette_count,negative_silhouette_ratio,close_to_best,passes_size_floor,passes_balance_floor,passes_negative_floor,selection_candidate
2,0.02851200651153905,29,38,0.5671641791044776,0:38; 1:29,15,0.22388059701492538,False,True,True,True,False
3,0.0479365189949835,3,45,0.6716417910447762,0:19; 1:45; 2:3,25,0.373134328358209,False,False,False,True,False
4,0.05707100507048591,3,39,0.582089552238806,0:17; 1:39; 2:8; 3:3,24,0.3582089552238806,False,False,False,True,False
5,0.06460180942146669,3,35,0.5223880597014925,0:5; 1:12; 2:3; 3:35; 4:12,27,0.40298507462686567,False,False,True,False,False
6,0.08103080798199996,3,25,0.373134328358209,0:25; 1:3; 2:10; 3:17; 4:3; 5:9,24,0.3582089552238806,True,False,True,True,False
