k,average_silhouette,min_cluster_size,max_cluster_size,max_cluster_ratio,cluster_sizes,negative_silhouette_count,negative_silhouette_ratio,close_to_best,selection_candidate
2,0.09708090446307231,43,241,0.8485915492957746,0:43; 1:241,39,0.13732394366197184,False,False
3,0.10953059220075526,42,175,0.6161971830985915,0:67; 1:175; 2:42,82,0.2887323943661972,False,False
4,0.14057833725481353,14,157,0.5528169014084507,0:157; 1:14; 2:42; 3:71,78,0.2746478873239437,False,False
5,0.1501165673225787,14,87,0.30633802816901406,0:43; 1:80; 2:60; 3:87; 4:14,58,0.20422535211267606,False,False
6,0.1708326519114405,10,102,0.3591549295774648,0:102; 1:42; 2:64; 3:14; 4:52; 5:10,59,0.20774647887323944,False,False
7,0.18167947817241137,10,80,0.28169014084507044,0:22; 1:59; 2:58; 3:80; 4:14; 5:41; 6:10,59,0.20774647887323944,False,False
8,0.18910681574856164,10,86,0.3028169014084507,0:10; 1:41; 2:26; 3:36; 4:86; 5:14; 6:61; 7:10,71,0.25,True,True
