keyword,paper_count,config,k,elbow_estimated_k,smallest_cluster,largest_cluster,silhouette_cosine,cohesion_ratio,within_cosine_mean,global_cosine_mean,within_pair_count,permutation_rho_mean,permutation_rho_sd,permutation_adjusted_z_rho,permutation_p_greater_equal,bootstrap_pairwise_ari_mean,bootstrap_pairwise_ari_min,bootstrap_pairwise_ari_sd,bootstrap_reference_ari_mean,bootstrap_reference_ari_min,bootstrap_reference_ari_sd,passes_numeric_rule
Design Guidelines,22,spectral_knn10_k2,2,4,8,14,0.06129828840494156,1.0130251411695097,0.6836353540420532,0.6748453974723816,119,0.9998581933252765,0.006504651654765183,2.024235661349731,0.03696303696303696,0.4110389304340954,-0.14130434782608695,0.3273727417007656,0.3475089526894457,-0.10326715926288614,0.26621920738821075,False
Design Guidelines,22,spectral_knn10_k3,3,4,6,10,0.050031814724206924,1.0234932313798581,0.6906996965408325,0.6748453974723816,75,0.9997009418896458,0.007791782592350941,3.0535104397764994,0.003996003996003996,0.3825340653955231,-0.20399326437334617,0.2506860118213578,0.3163025197794682,0.017862126709461346,0.1723944669546718,False
Design Guidelines,22,spectral_knn10_k4,4,4,3,9,0.0697813332080841,1.0580442000359123,0.7140162587165833,0.6748453974723816,60,1.0004232357863128,0.010326445436071358,5.57994177244412,0.000999000999000999,0.44360461493247755,-0.0901312036508842,0.2291639235999335,0.5448676466039026,0.1544973544973545,0.22880739970910519,False
Design Guidelines,22,spectral_knn10_k5,5,4,2,8,0.06580338627099991,1.0665170644797084,0.7197341322898865,0.6748453974723816,50,1.0001287114930921,0.012201507635831822,5.440995897232853,0.000999000999000999,0.3525111286072379,-0.13002191380569758,0.20614584160819743,0.3956639836289158,0.014399393709738537,0.1917811931821146,False
Design Heuristics,10,spectral_knn10_k2,2,2,3,7,0.3957130014896393,1.0609851972176108,0.8483200073242188,0.7995587587356567,24,0.9997733016906497,0.013134361569152618,4.660439352509025,0.007992007992007992,0.7606647145066118,-0.21621621621621623,0.3664827500311603,0.8514607614607614,-0.06060606060606061,0.27820591362869185,True
Design Heuristics,10,spectral_knn10_k3,3,2,1,7,-0.09028758108615875,1.0171694300184446,0.813286726889403,0.7995587587356567,23,1.000309358290044,0.017097723443447833,0.9861003884035652,0.13786213786213786,0.33901672629793744,-0.2962962962962963,0.42897099104280384,0.5131975945621222,-0.2268041237113402,0.4588773199723825,False
Design Patterns,51,spectral_knn10_k2,2,2,16,35,0.07475370168685913,1.0090437361124753,0.7647330164909363,0.7578789591789246,715,1.0001076456423974,0.004440006926845607,2.0126298488517347,0.03896103896103896,0.6441109722958345,0.015772870662460567,0.20496464938489303,0.7454638459544672,0.24612683574936534,0.18187491275648737,True
Design Patterns,51,spectral_knn10_k3,3,2,12,26,0.07193481922149658,1.0269431641861382,0.7782986164093018,0.7578789591789246,469,0.9999564657734872,0.005182051391326688,5.207724967340004,0.000999000999000999,0.49375137332759367,-0.022090639945342747,0.1993029307659684,0.6278826580948524,0.14163198385672846,0.1968099791933553,False
Design Patterns,51,spectral_knn10_k4,4,2,7,21,0.08095630258321762,1.0348427487666434,0.7842855453491211,0.7578789591789246,358,0.999977636115928,0.00539123087576645,6.467004187751226,0.000999000999000999,0.4285521864296188,0.013744119546167327,0.17014977213696417,0.478821413563965,0.18689124090157883,0.1743682026148564,False
Design Patterns,51,spectral_knn10_k5,5,2,6,21,0.06429722160100937,1.0362053807052545,0.7853182554244995,0.7578789591789246,313,0.9999130128676151,0.007286214310070321,4.980963541997308,0.000999000999000999,0.4488209293752356,0.06509868303651094,0.16339046785922293,0.47644640838123975,0.12996183886729198,0.1403882181759512,False
