k,average_silhouette,min_cluster_size,max_cluster_size,max_cluster_ratio,cluster_sizes,negative_silhouette_count,negative_silhouette_ratio,close_to_best,selection_candidate
2,0.05763868319815342,43,241,0.8485915492957746,0:43; 1:241,54,0.19014084507042253,False,False
3,0.07098126558963996,41,195,0.6866197183098591,0:41; 1:48; 2:195,94,0.33098591549295775,False,False
4,0.08358811636637563,23,176,0.6197183098591549,0:23; 1:176; 2:46; 3:39,92,0.323943661971831,False,False
5,0.09169144362949595,21,95,0.3345070422535211,0:21; 1:95; 2:43; 3:36; 4:89,72,0.2535211267605634,False,False
6,0.1015535972823272,19,92,0.323943661971831,0:19; 1:42; 2:59; 3:38; 4:92; 5:34,71,0.25,False,False
7,0.11025307747138244,10,68,0.23943661971830985,0:68; 1:40; 2:32; 3:57; 4:10; 5:53; 6:24,67,0.23591549295774647,False,False
8,0.11910078927907647,10,68,0.23943661971830985,0:19; 1:10; 2:25; 3:68; 4:39; 5:30; 6:27; 7:66,70,0.24647887323943662,True,True
