k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.24038315406530453,2,12,0:2; 1:12,1
3,0.2336953711835005,2,8,0:2; 1:4; 2:8,0
4,0.2396064092356072,2,6,0:2; 1:2; 2:6; 3:4,0
5,0.21738003024876276,2,4,0:2; 1:2; 2:4; 3:2; 4:4,1
6,0.20512965942017283,2,4,0:2; 1:2; 2:4; 3:2; 4:2; 5:2,1
7,0.20660055566565963,1,4,0:2; 1:4; 2:2; 3:2; 4:1; 5:2; 6:1,1
8,0.1959119079986687,1,3,0:1; 1:2; 2:2; 3:2; 4:1; 5:3; 6:2; 7:1,0
