config,algorithm,k,coverage,cluster_count,smallest_cluster,largest_cluster,silhouette_cosine,cohesion_ratio,within_cosine_mean,global_cosine_mean,within_pair_count,permutation_rho_mean,permutation_rho_sd,permutation_adjusted_z_rho,permutation_p_greater_equal,bootstrap_pairwise_ari_mean,bootstrap_pairwise_ari_min,bootstrap_pairwise_ari_sd,bootstrap_reference_ari_mean,bootstrap_reference_ari_min,bootstrap_reference_ari_sd,passes_frozen_numeric_rule
average_cosine_k2,average_cosine,2.0,1.0,2,1,57,0.31818002462387085,1.0052175916704182,0.7620111516511806,0.7580559253692627,1597,0.9999377147927212,0.0016849317086034662,3.1335850887827377,0.011988011988011988,0.7331071046519964,-0.029411764705882353,0.4426434544170636,0.8,0.0,0.40201512610368484,False
kmeans_k2,kmeans,2.0,1.0,2,18,40,0.1351386457681656,1.026104357988965,0.7778444886207581,0.7580559253692627,933,1.0001253126654144,0.004273879607615449,6.078562736596436,0.000999000999000999,0.53279527012843,-0.04537144756523184,0.22218951028555398,0.5376019912373076,0.01813746527228785,0.21136435792584823,False
spectral_knn10_k2,spectral_knn10,2.0,1.0,2,16,42,0.09810233861207962,1.014592861116956,0.7691181302070618,0.7580559253692627,981,1.0001679908457792,0.00455239586959596,3.1686326682430903,0.000999000999000999,0.5735843169915201,-0.04864725586189127,0.29217742639520833,0.6978607987376271,0.010921501706484642,0.2819684804767873,False
spectral_knn15_k2,spectral_knn15,2.0,1.0,2,17,41,0.10438378155231476,1.0168533459641826,0.7708317041397095,0.7580559253692627,956,1.0001843763533895,0.004317508928220187,3.8607840511553015,0.000999000999000999,0.6107830347793608,-0.0950920245398773,0.22667865859579386,0.7037306406208509,-0.03903017765879776,0.1852323624082274,True
ward_k2,ward,2.0,1.0,2,11,47,0.16468751430511475,1.0226402312049283,0.7752184867858887,0.7580559253692627,1136,0.9999606801913624,0.004560484860547112,4.973056968079721,0.000999000999000999,0.3699650530990675,-0.11987256073277579,0.30403182740399476,0.4437793879105373,-0.11195928753180662,0.30175896164640714,False
average_cosine_k3,average_cosine,3.0,1.0,3,1,56,0.2207048386335373,1.0085099201538048,0.7645069207662738,0.7580559253692627,1542,1.0000213064504657,0.002457561780798102,3.454079474080354,0.000999000999000999,0.7130948166316846,0.0,0.28219524379421845,0.7213857677902622,0.0,0.27002835453771606,False
kmeans_k3,kmeans,3.0,1.0,3,2,30,0.08817896991968155,1.0153693155281132,0.7697067260742188,0.7580559253692627,761,1.000049388790813,0.0027495212323687583,5.571852494516553,0.000999000999000999,0.33832527098689447,-0.09887117714945182,0.19544846413808944,0.3491798639130482,0.02199190863738813,0.14140959174647144,False
spectral_knn10_k3,spectral_knn10,3.0,1.0,3,17,23,0.06190089136362076,1.02085190926798,0.7738628387451172,0.7580559253692627,542,1.0000249587437338,0.0022562762762977228,9.230673895317787,0.000999000999000999,0.6081048899790495,0.08255498644169931,0.16940554559079568,0.6467503213870889,0.15603830392238857,0.13864453673156465,True
spectral_knn15_k3,spectral_knn15,3.0,1.0,3,15,24,0.06129584461450577,1.0239486060304128,0.7762103080749512,0.7580559253692627,552,1.0001157481623781,0.002781353144369153,8.568799656485291,0.000999000999000999,0.5790340341370666,0.06974815011447721,0.17448712196861862,0.6610009726882895,0.222944438323969,0.16043938979607145,False
ward_k3,ward,3.0,1.0,3,11,31,0.05679973587393761,1.0296530888182074,0.7805346250534058,0.7580559253692627,640,1.0000709141514261,0.0052059321270602485,5.6823973007665955,0.000999000999000999,0.3557464654144865,-0.0804826815642458,0.20739485903141602,0.4055673625384239,0.010165084559606397,0.22875285595717817,False
average_cosine_k4,average_cosine,4.0,1.0,4,1,55,0.1914227157831192,1.0119512367074175,0.7671156311708112,0.7580559253692627,1488,1.0001252706902697,0.003055908042513922,3.869869725340051,0.000999000999000999,0.790637767157647,-0.06666045991993297,0.2361437613389364,0.8335404961046649,0.0,0.2148311247946176,False
kmeans_k4,kmeans,4.0,1.0,4,3,27,0.06981446593999863,1.0335476268879833,0.7834869027137756,0.7580559253692627,536,1.0001569731345987,0.005282157460063497,6.321404465095817,0.000999000999000999,0.32226315517651355,-0.059997228765414995,0.16114095843608392,0.30421794038598315,0.11402301281178008,0.1119623921706642,False
spectral_knn10_k4,spectral_knn10,4.0,1.0,4,8,28,0.06159385293722153,1.029891175294864,0.7807151079177856,0.7580559253692627,517,1.0001815365352662,0.0064747044295105005,4.588570657246816,0.000999000999000999,0.4857951044030257,0.06852208486053302,0.16487439309310228,0.5264556574442736,0.19635924424122164,0.16935297207335256,False
spectral_knn15_k4,spectral_knn15,4.0,1.0,4,9,22,0.06332825869321823,1.0352140749679903,0.7847501635551453,0.7580559253692627,436,1.0001668275401578,0.004607055027928398,7.607299503776883,0.000999000999000999,0.4701147917061012,0.02062600740786527,0.17484355182658667,0.4809845105191954,0.1804791869305437,0.13431624541377538,False
ward_k4,ward,4.0,1.0,4,3,28,0.07244272530078888,1.0396811056522106,0.7881364226341248,0.7580559253692627,556,1.0004797641434218,0.005439838034626304,7.2063435086228305,0.000999000999000999,0.4345939076766201,0.05066269312210807,0.17561619917112076,0.5132807143344477,0.17767834741155808,0.17780200477288646,False
raw_hdbscan_mcs5_ms3,raw_hdbscan,,0.0,0,0,0,,1.0,0.7580559253692627,0.7580559253692627,58,1.0,0.0,,1.0,,,,,,,False
