,ward_k3,average_cosine_k3,kmeans_k3,spectral_knn10_k3,spectral_knn15_k3
ward_k3,1.0,0.05012803705110455,0.08465962573401015,0.5224992579871532,0.513444995157523
average_cosine_k3,0.05012803705110455,1.0,-0.011273757889609522,0.007557897421602473,0.02018867795730854
kmeans_k3,0.08465962573401015,-0.011273757889609522,1.0,0.2723459010410592,0.2805182503974832
spectral_knn10_k3,0.5224992579871532,0.007557897421602473,0.2723459010410592,1.0,0.7814240165816263
spectral_knn15_k3,0.513444995157523,0.02018867795730854,0.2805182503974832,0.7814240165816263,1.0
