title,config,path,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,stability_ari
All papers · KMEANS · Raw BGE-M3,kmeans_k2,raw/kmeans,2,0,0.0,1.0,223,236,0.07818053662776947,0.885676820302373
All papers · DBSCAN · Raw BGE-M3,dbscan_eps0.193210_ms3,raw/dbscan,2,114,0.24836601307189543,0.7516339869281046,5,340,0.1560959815979004,0.8478179585066169
All papers · HDBSCAN · Raw BGE-M3,hdbscan_mcs8_ms8,raw/hdbscan,2,391,0.8518518518518519,0.14814814814814814,10,58,0.2913711667060852,0.7942152721919806
UMAP5 before clustering · KMEANS,kmeans_k2,umap5/kmeans,2,0,0.0,1.0,198,261,0.06713353097438812,0.9824486174517708
UMAP5 before clustering · DBSCAN,dbscan_eps0.261704_ms8,umap5/dbscan,13,274,0.5969498910675382,0.40305010893246185,9,25,0.18155719339847565,0.7492582824254741
UMAP5 before clustering · HDBSCAN,hdbscan_mcs20_ms1,umap5/hdbscan,2,24,0.05228758169934641,0.9477124183006536,35,400,0.07261371612548828,0.5942171046648935
UMAP10 before clustering · KMEANS,kmeans_k3,umap10/kmeans,3,0,0.0,1.0,64,250,0.06865386664867401,0.8645242473673501
UMAP10 before clustering · DBSCAN,dbscan_eps0.272734_ms8,umap10/dbscan,14,267,0.5816993464052288,0.41830065359477125,9,21,0.180712029337883,0.6652539238291857
UMAP10 before clustering · HDBSCAN,hdbscan_mcs10_ms5,umap10/hdbscan,15,127,0.2766884531590414,0.7233115468409586,11,57,0.10597032308578491,0.26340532001242617
Zhicheng workflow · UMAP 10D + HDBSCAN,hdbscan_mcs8_ms1,zhicheng_umap_hdbscan,20,68,0.14814814814814814,0.8518518518518519,8,70,0.09048455208539963,0.5996816345395037
