k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.13626405145947507,2,18,0:2; 1:18,1
3,0.15835887169723356,2,15,0:3; 1:15; 2:2,1
4,0.19574447245888033,2,12,0:2; 1:12; 2:3; 3:3,4
5,0.27974157423985024,2,11,0:3; 1:2; 2:2; 3:2; 4:11,3
6,0.3132858227951858,2,8,0:2; 1:4; 2:8; 3:2; 4:2; 5:2,2
7,0.3246578574326772,2,5,0:2; 1:2; 2:2; 3:5; 4:4; 5:3; 6:2,1
8,0.3284961321835126,2,5,0:2; 1:5; 2:2; 3:2; 4:3; 5:2; 6:2; 7:2,3
