k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.038541742340600295,38,49,0:38; 1:49,8
3,0.041167141932113016,17,42,0:42; 1:17; 2:28,17
4,0.04397962292770359,13,30,0:13; 1:18; 2:30; 3:26,27
5,0.06035343224024519,7,24,0:18; 1:24; 2:15; 3:7; 4:23,25
6,0.06594473147542344,7,21,0:9; 1:15; 2:19; 3:21; 4:16; 5:7,27
7,0.07023943384928974,2,20,0:20; 1:18; 2:20; 3:8; 4:10; 5:2; 6:9,28
8,0.07103327437776556,6,15,0:15; 1:11; 2:6; 3:13; 4:10; 5:14; 6:8; 7:10,33
