keyword,paper_count,k,kmeans_inertia,elbow_chord_distance,elbow_selected
Design Guidelines,22,1,6.814708709716797,0.0,False
Design Guidelines,22,2,6.17364501953125,0.05512575011038141,False
Design Guidelines,22,3,5.727363586425781,0.03978973108563259,False
Design Guidelines,22,4,5.193429946899414,0.05616157716933157,True
Design Guidelines,22,5,4.8600053787231445,0.0,False
Design Heuristics,10,1,1.8074183464050293,0.0,False
Design Heuristics,10,2,1.235004186630249,0.09520026468632224,True
Design Heuristics,10,3,0.9054581522941589,0.0,False
Design Patterns,50,1,11.848771095275879,0.0,False
Design Patterns,50,2,11.083385467529297,0.07076577620840654,False
Design Patterns,50,3,10.534961700439453,0.08138342133891559,True
Design Patterns,50,4,10.147791862487793,0.047296792468130275,False
Design Patterns,50,5,9.636828422546387,0.0475293465935896,False
Design Patterns,50,6,9.298148155212402,0.0,False
Design Rules,11,1,2.891883373260498,0.0,False
Design Rules,11,2,2.4141738414764404,0.02993353033599847,True
Design Rules,11,3,2.011040687561035,0.0,False
Design frameworks,6,1,1.2679388523101807,,False
Design frameworks,6,2,0.8248357772827148,,True
Design knowledge,68,1,15.906867027282715,0.0,False
Design knowledge,68,2,14.933443069458008,0.07837108897086356,False
Design knowledge,68,3,14.220321655273438,0.09796765107634704,True
Design knowledge,68,4,13.71616268157959,0.07038192905687586,False
Design knowledge,68,5,13.255125045776367,0.03305970505443704,False
Design knowledge,68,6,12.775209426879883,0.0,False
Design methods,27,1,6.351722717285156,0.0,False
Design methods,27,2,5.86983060836792,0.048436500068863846,False
Design methods,27,3,5.461121559143066,0.06267075773749703,True
Design methods,27,4,5.20975399017334,0.003371174788953891,False
Design methods,27,5,4.838715553283691,0.0,False
Design principles,15,1,3.982438802719116,0.0,False
Design principles,15,2,3.5384609699249268,0.031782695322172996,True
Design principles,15,3,3.167297840118408,0.02936055211080159,False
Design principles,15,4,2.826799154281616,0.012533730837596603,False
Design principles,15,5,2.477161407470703,0.0,False
Design rationale,14,1,2.0203776359558105,0.0,False
Design rationale,14,2,1.7090678215026855,0.04752751217598138,True
Design rationale,14,3,1.461148738861084,0.03738211549858007,False
Design rationale,14,4,1.2431666851043701,0.0,False
