paper_id,keyword,chunk_index,chunk_type,characters,words
07efc8033023,Design Guidelines,12,title_pdf_passage,1074,150
080c04a1507a,Design knowledge,0,title_abstract,1203,165
080c04a1507a,Design knowledge,1,title_pdf_passage,1006,142
080c04a1507a,Design knowledge,2,title_pdf_passage,1022,132
080c04a1507a,Design knowledge,3,title_pdf_passage,688,89
080c04a1507a,Design knowledge,4,title_pdf_passage,676,86
080c04a1507a,Design knowledge,5,title_pdf_passage,988,136
080c04a1507a,Design knowledge,6,title_pdf_passage,769,103
080c04a1507a,Design knowledge,7,title_pdf_passage,1198,156
080c04a1507a,Design knowledge,8,title_pdf_passage,1055,134
080c04a1507a,Design knowledge,9,title_pdf_passage,1023,126
080c04a1507a,Design knowledge,10,title_pdf_passage,610,92
080c04a1507a,Design knowledge,11,title_pdf_passage,787,86
080c04a1507a,Design knowledge,12,title_pdf_passage,1167,161
0b002633de00,Design Patterns,0,title_abstract,741,103
0b002633de00,Design Patterns,1,title_pdf_passage,959,145
0b002633de00,Design Patterns,2,title_pdf_passage,1036,151
0b002633de00,Design Patterns,3,title_pdf_passage,572,79
0b002633de00,Design Patterns,4,title_pdf_passage,1105,162
0b002633de00,Design Patterns,5,title_pdf_passage,1022,142
0b002633de00,Design Patterns,6,title_pdf_passage,981,137
0b002633de00,Design Patterns,7,title_pdf_passage,1014,141
0b002633de00,Design Patterns,8,title_pdf_passage,1061,164
0b002633de00,Design Patterns,9,title_pdf_passage,1058,148
0b002633de00,Design Patterns,10,title_pdf_passage,1097,152
0b002633de00,Design Patterns,11,title_pdf_passage,1038,149
0b002633de00,Design Patterns,12,title_pdf_passage,1186,177
0c3ae5c60e89,Design theory,0,title_abstract,877,126
0c3ae5c60e89,Design theory,1,title_pdf_passage,983,130
0c3ae5c60e89,Design theory,2,title_pdf_passage,1021,129
0c3ae5c60e89,Design theory,3,title_pdf_passage,1244,179
0c3ae5c60e89,Design theory,4,title_pdf_passage,730,91
0c3ae5c60e89,Design theory,5,title_pdf_passage,963,140
0c3ae5c60e89,Design theory,6,title_pdf_passage,1015,144
0c3ae5c60e89,Design theory,7,title_pdf_passage,650,94
0c3ae5c60e89,Design theory,8,title_pdf_passage,1121,163
0c3ae5c60e89,Design theory,9,title_pdf_passage,989,136
0c3ae5c60e89,Design theory,10,title_pdf_passage,1199,173
0c3ae5c60e89,Design theory,11,title_pdf_passage,1218,162
0c3ae5c60e89,Design theory,12,title_pdf_passage,694,98
0c63b5d36c1b,Design knowledge,0,title_abstract,806,119
0c63b5d36c1b,Design knowledge,1,title_pdf_passage,1077,146
0c63b5d36c1b,Design knowledge,2,title_pdf_passage,783,111
0c63b5d36c1b,Design knowledge,3,title_pdf_passage,1035,107
0c63b5d36c1b,Design knowledge,4,title_pdf_passage,931,98
0c63b5d36c1b,Design knowledge,5,title_pdf_passage,1107,141
0c63b5d36c1b,Design knowledge,6,title_pdf_passage,1114,136
0c63b5d36c1b,Design knowledge,7,title_pdf_passage,959,82
0c63b5d36c1b,Design knowledge,8,title_pdf_passage,972,120
0c63b5d36c1b,Design knowledge,9,title_pdf_passage,876,92
0c63b5d36c1b,Design knowledge,10,title_pdf_passage,908,120
0c63b5d36c1b,Design knowledge,11,title_pdf_passage,869,112
0c63b5d36c1b,Design knowledge,12,title_pdf_passage,982,135
102689fab8b6,Design knowledge,0,title_abstract,1795,247
102689fab8b6,Design knowledge,1,title_pdf_passage,416,52
102689fab8b6,Design knowledge,2,title_pdf_passage,939,132
102689fab8b6,Design knowledge,3,title_pdf_passage,581,77
102689fab8b6,Design knowledge,4,title_pdf_passage,1220,178
102689fab8b6,Design knowledge,5,title_pdf_passage,762,110
102689fab8b6,Design knowledge,6,title_pdf_passage,1032,138
102689fab8b6,Design knowledge,7,title_pdf_passage,963,125
102689fab8b6,Design knowledge,8,title_pdf_passage,308,45
102689fab8b6,Design knowledge,9,title_pdf_passage,988,135
102689fab8b6,Design knowledge,10,title_pdf_passage,1027,147
102689fab8b6,Design knowledge,11,title_pdf_passage,1272,180
102689fab8b6,Design knowledge,12,title_pdf_passage,922,127
12a0faff1d0d,Design theory,0,title_abstract,1143,166
12a0faff1d0d,Design theory,1,title_pdf_passage,1026,159
12a0faff1d0d,Design theory,2,title_pdf_passage,904,144
12a0faff1d0d,Design theory,3,title_pdf_passage,980,136
12a0faff1d0d,Design theory,4,title_pdf_passage,987,143
12a0faff1d0d,Design theory,5,title_pdf_passage,1190,181
12a0faff1d0d,Design theory,6,title_pdf_passage,368,60
12a0faff1d0d,Design theory,7,title_pdf_passage,924,142
12a0faff1d0d,Design theory,8,title_pdf_passage,1061,168
12a0faff1d0d,Design theory,9,title_pdf_passage,1036,159
12a0faff1d0d,Design theory,10,title_pdf_passage,667,115
12a0faff1d0d,Design theory,11,title_pdf_passage,1007,153
12a0faff1d0d,Design theory,12,title_pdf_passage,1055,157
12cb05e5e8ec,Design rationale,0,title_abstract,1600,229
12cb05e5e8ec,Design rationale,1,title_pdf_passage,705,96
12cb05e5e8ec,Design rationale,2,title_pdf_passage,604,83
12cb05e5e8ec,Design rationale,3,title_pdf_passage,488,70
12cb05e5e8ec,Design rationale,4,title_pdf_passage,404,58
12cb05e5e8ec,Design rationale,5,title_pdf_passage,492,76
12cb05e5e8ec,Design rationale,6,title_pdf_passage,588,88
12cb05e5e8ec,Design rationale,7,title_pdf_passage,540,77
12cb05e5e8ec,Design rationale,8,title_pdf_passage,970,123
12cb05e5e8ec,Design rationale,9,title_pdf_passage,877,122
1499477f6cda,Design principles,0,title_abstract,943,123
1499477f6cda,Design principles,1,title_pdf_passage,925,118
1499477f6cda,Design principles,2,title_pdf_passage,881,123
1499477f6cda,Design principles,3,title_pdf_passage,943,123
1499477f6cda,Design principles,4,title_pdf_passage,902,128
1499477f6cda,Design principles,5,title_pdf_passage,971,85
1499477f6cda,Design principles,6,title_pdf_passage,1054,141
1499477f6cda,Design principles,7,title_pdf_passage,882,119
1499477f6cda,Design principles,8,title_pdf_passage,1116,150
1499477f6cda,Design principles,9,title_pdf_passage,504,64
1499477f6cda,Design principles,10,title_pdf_passage,903,119
1499477f6cda,Design principles,11,title_pdf_passage,1052,144
1499477f6cda,Design principles,12,title_pdf_passage,1018,139
15f17a542ff6,Design theory,0,title_abstract,2767,367
15f17a542ff6,Design theory,1,title_pdf_passage,992,128
15f17a542ff6,Design theory,2,title_pdf_passage,886,125
15f17a542ff6,Design theory,3,title_pdf_passage,1029,150
15f17a542ff6,Design theory,4,title_pdf_passage,1050,147
15f17a542ff6,Design theory,5,title_pdf_passage,989,131
15f17a542ff6,Design theory,6,title_pdf_passage,495,73
15f17a542ff6,Design theory,7,title_pdf_passage,1060,152
15f17a542ff6,Design theory,8,title_pdf_passage,997,144
15f17a542ff6,Design theory,9,title_pdf_passage,975,144
15f17a542ff6,Design theory,10,title_pdf_passage,1206,169
15f17a542ff6,Design theory,11,title_pdf_passage,595,84
15f17a542ff6,Design theory,12,title_pdf_passage,1065,158
166efc8ac468,Design knowledge,0,title_abstract,721,103
166efc8ac468,Design knowledge,1,title_pdf_passage,880,141
166efc8ac468,Design knowledge,2,title_pdf_passage,910,123
166efc8ac468,Design knowledge,3,title_pdf_passage,959,134
166efc8ac468,Design knowledge,4,title_pdf_passage,959,144
166efc8ac468,Design knowledge,5,title_pdf_passage,410,59
166efc8ac468,Design knowledge,6,title_pdf_passage,552,81
166efc8ac468,Design knowledge,7,title_pdf_passage,966,139
166efc8ac468,Design knowledge,8,title_pdf_passage,665,102
166efc8ac468,Design knowledge,9,title_pdf_passage,1018,158
166efc8ac468,Design knowledge,10,title_pdf_passage,331,43
166efc8ac468,Design knowledge,11,title_pdf_passage,1229,170
166efc8ac468,Design knowledge,12,title_pdf_passage,1203,184
17ad371dac5e,Design Heuristics,0,title_abstract,1069,133
17ad371dac5e,Design Heuristics,1,title_pdf_passage,601,76
17ad371dac5e,Design Heuristics,2,title_pdf_passage,987,132
