k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.02546879103640254,34,41,0:34; 1:41,16
3,0.028186454663527195,19,32,0:19; 1:24; 2:32,19
4,0.026489317029007444,10,27,0:10; 1:27; 2:19; 3:19,22
5,0.026915695883334263,8,20,0:16; 1:20; 2:14; 3:8; 4:17,23
6,0.03293225062162291,8,17,0:8; 1:17; 2:15; 3:10; 4:13; 5:12,31
7,0.040113396356797226,4,16,0:5; 1:16; 2:8; 3:13; 4:13; 5:4; 6:16,29
8,0.045643709793683214,7,18,0:7; 1:18; 2:10; 3:7; 4:9; 5:9; 6:7; 7:8,31
