paper_id,pdf_filename,copy_status,keyword,title,doi,year,venue,audit_status,title_token_overlap,title_token_coverage,review_note
cda6c6785f0a,cda6c6785f0a.pdf,copied,Design knowledge,The design of social drones: a review of studies on autonomous flyers in inhabited environments,10.1145/3290605.3300480,,CHI '19: Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,needs_manual_check,0.028,0.286,PDF exists but was not included in confirmed_110; inspect manually before promoting into the confirmed PDF set.
edde6dc75b19,edde6dc75b19.pdf,copied,Design rationale,The language of design: Theory and computation,10.1007/978-1-84882-021-0,2009.0,The Language of Design: Theory and Computation,needs_manual_check,0.0,0.0,PDF exists but was not included in confirmed_110; inspect manually before promoting into the confirmed PDF set.
