paper_id,pdf_filename,keyword,title
4a9c96b6c482,4a9c96b6c482.pdf,Design Patterns,Meta patternsma means for capturing the essentials of reusable object-oriented design
50c94f5857d8,50c94f5857d8.pdf,Design theory,Eight Components of a Design Theory of Sonification
560be0c20de7,560be0c20de7.pdf,Design frameworks,"Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems"
5b52ec143fa6,5b52ec143fa6.pdf,Design theory,The ECC Methodology for Architecture Design Theory and Practices Research
5ba50396ff25,5ba50396ff25.pdf,Design methods,What is a Convention in Interactive Narrative Design?
5c096c480387,5c096c480387.pdf,Design Rules,User interfaces of information retrieval systems and user friendliness
5ffd963397c9,5ffd963397c9.pdf,Design theory,THEORY OF TECHNICAL SYSTEMS - PREREQUISITE TO DESIGN THEORY.
60c69d24c5a3,60c69d24c5a3.pdf,Design methods,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework
6194ef223969,6194ef223969.pdf,Design theory,A typology of Urban Design theories and its application to the shared body of knowledge
660ca24145b2,660ca24145b2.pdf,Design frameworks,The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities
66d4b9b36f31,66d4b9b36f31.pdf,Design theory,"SHEAFIFICATION AS A DESIGN TECHNIQUE FOR CREATIVE PRESERVATION – PRINCIPLES, ILLUSTRATIONS, AND FIRST APPLICATIONS"
67d72b35ce6b,67d72b35ce6b.pdf,Design theory,A nascent design theory for explainable intelligent systems
6d926f3c4a97,6d926f3c4a97.pdf,Design knowledge,A domain reference ontology for design science research knowledge bases
6e06768bb26b,6e06768bb26b.pdf,Design methods,Design as Research in Landscape Architecture
6ea89aad84f6,6ea89aad84f6.pdf,Design Procedures,Development of Sustainable Integrated Design Framework for Stream Restoration
714b3f6f8ac7,714b3f6f8ac7.pdf,Design methods,Degrees of Interaction: Towards a Classification
76669ffc8981,76669ffc8981.pdf,Design methods,A Framework for Effective Virtual Commissioning: Guiding Principles for Seamless System Integration
774e05395765,774e05395765.pdf,Design Patterns,Understanding and using patterns in software development
77ba97562fe7,77ba97562fe7.pdf,Design Patterns,Teachers’ Collaborative Pattern Language Design
79d31b954d2a,79d31b954d2a.pdf,Design theory,THE LOGICS OF DOUBLE PROOF IN PROOF OF CONCEPT: A DESIGN THEORY-BASED MODEL OF EXPERIMENTATION IN THE UNKNOWN
7a42dd52852e,7a42dd52852e.pdf,Design rationale,What's in design rationale?
7f7baeb83bac,7f7baeb83bac.pdf,Design knowledge,A theoretical framework on embodiment in digital design
804431d6f285,804431d6f285.pdf,Design theory,Concepts and definitions for product recovery: Analysis and clarification of the terminology used in academia and industry
82f49b5a1905,82f49b5a1905.pdf,Design knowledge,SOLUTION REPERTOIRE
