paper_id,keyword,title,abstract,budget,selected_count,passage_ids,subdocument,canonical_text_path,authors,year,venue,doi,url,cluster_id,cluster,cluster_theme_terms,cluster_label_candidate,distinguishing_evidence_terms,cluster_summary_candidate,design_knowledge_form,contribution_type,contribution_type_support,contribution_type_definition,primary_application_domain,application_domain_support,application_domain_definitions,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,theory_move_key,lda_topic,lda_topic_probability,lda_topic_words,hdbscan_peripheral,discussion_found,discussion_paragraph_count,discussion_summary,discussion_excerpt,umap_x,umap_y,distance_to_centroid,representative_rank,medoid_rank,is_representative_top3,nearest_papers
1e7ab64c6cf9,Design frameworks,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults,"Purpose This study aims to address the existing gap in co-design frameworks by introducing the EMPOWER framework, a strength-based co-design methodological approach specifically designed to tackle the key empowerment challenges associated with co-designing alongside individuals experiencing vulnerability. The purpose of this study is to provide a set of easy-to-remember empowering guidelines to enhance the co-design process. Design/methodology/approach EMPOWER is based on lessons from the field, through five years of working with older adults. Findings The framework includes seven guidelines to overcome common challenges in co-design research. The acronym EMPOWER refers to guidelines for extending, multiplying, publicising, outsourcing, widening, enabling and reflecting on co-design research. Research limitations/implications Although extendable to other experiences of vulnerability, the examples provided focus on the experiences of ageing consumers. Practical implications EMPOWER has direct relevance to practitioners wishing not only to work with consumers experiencing vulnerabilities but also to empower these consumers through purposeful research actions. Social implications Although drawing on co-design research with older adults, these guidelines can be applied to empower other groups experiencing vulnerability. Originality/value There is a relative lack of guidelines on how to strengthen the co-design process in a way that empowers consumers experiencing vulnerability. To address this, this paper offers a framework and some grounded examples contributing to the current knowledge of co-design in marketing.",12,12,1e7ab64c6cf9_p0001;1e7ab64c6cf9_p0004;1e7ab64c6cf9_p0006;1e7ab64c6cf9_p0011;1e7ab64c6cf9_p0012;1e7ab64c6cf9_p0015;1e7ab64c6cf9_p0017;1e7ab64c6cf9_p0018;1e7ab64c6cf9_p0024;1e7ab64c6cf9_p0025;1e7ab64c6cf9_p0036;1e7ab64c6cf9_p0042,"Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults Bernardo Figueiredo, Torgeir Aleti, Diane M. Martin and Mike Reid School of Economics Finance and Marketing, RMIT University, Melbourne, Australia Jacob Sheahan School of Design, College of Design and Social Context, RMIT University, Melbourne, Australia, and Larissa Hjorth School of Media and Communications, College of Design and Social Context, RMIT University, Melbourne, Australia

Co-design originated from co-operative research design approaches in Scandinavia in the 1970s and 80s when trade unions reacted against being omitted from the design process of technologies at work ( Bødker et al., 2000). In recent years, codesign has become widespread in social sciences and is quickly becoming an essential marketing methodology ( Hurley et al. , 2018). Papers on co-design started appearing in marketing journals with increasing frequency over the past 20 years. A Google Scholar search for articles mentioning “co-design” or “co-design” in “marketing” grew slowly from about ﬁve papers per year in the early 2000s, and about 50 papers per year in the late 2010s, to 907 papers in 2022. Part of the reason for this rapid growth in popularity comes from the discovery of the applicability of the method to address social marketing problems (Raciti et al., 2022; Rundle-Thiele, 2022).

The authors acknowledge the U3A Network Victoria and the City of Whittlesea for their participation in the project mentioned in the text. Funding: This project was funded by a grant from the Australian Communications Consumer Action Network (ACCAN). The operation of the Australian Communications Consumer Action Network is made possible by funding provided by the Commonwealth of Australia under section 593 of the Telecommunications Act 1997. This funding is recovered from charges on telecommunications carriers. Since acceptance of this article, the following authors have updated their afﬁliations: Jacob Sheahan is at the Institute for Design Informatics, University of Edinburgh and Diane M. Martin is at the Department of Marketing, National University of Ireland Galway, Galway, Ireland. Received 22 December 2022 Revised 1 June 2023

Although recent advances have been made regarding using a strength-based approach to understand customers experiencing vulnerability ( Fisk et al.,2 0 2 2; Raciti et al.,2 0 2 2), there is a paucity of guidelines regarding implementing the codesign process in a way that empowers customers experiencing vulnerability. Two strength-based co-design frameworks have recently emerged in social marketing: the SAIV process ( Raciti et al. ,2 0 2 2) and the 5R guidelines ( Russell-Bennett et al. , 2023). SAIV is a “strengths-based approach (SA) process for eliciting deep insights (I) from the tacit knowledge of people experiencing vulnerability (V) ” (Raciti et al. , 2022 , p. 1152). SAIV focuses on how social marketers should communicate with consumers experiencing vulnerability to obtain their tacit knowledge and help elaborate on their situational experience of vulnerability.

Similarly, the 5R framework is a set of introspection practices for social marketers employing a codesign process with consumers experiencing vulnerability to “(1) reframe the issue label; (2) relate to the client; (3) revise the language; (4) rewire the brain through re ﬂection; and (5) redesign methods” (Russell-Bennett et al., 2023, p. 173). In contrast to these research-process-based frameworks, we focus on identifying the empowerment-related challenges likely to occur in co-design and provide guidelines for addressing them. We offer the EMPOWER framework, which focuses on fostering a long-term relationship with key beneﬁciaries. Procedure and design Our insights for the EMPOWER framework, described below, are drawn from a ﬁve-year research program co-created with the University of Third Age (U3A) called Shaping Connections. With over 100 local chapters and over 40,000 members across Victoria, Australia, U3A offers a robust platform for older people to connect, learn and stay active.

Insights and lessons learned The following are our lessons from our research relationship with U3A over the last ﬁve years, with a particular focus on the ﬁnal two years of funded co-design research. Based on our insights and experiences, we developed the “co-design to EMPOWER” framework. This framework includes seven guidelines to overcome common challenges in co-design research. Although the guidelines follow in no particular order, we organised them around the acronym EMPOWER to make them easier to remember and, therefore, more practical. Extend Extending roles beneﬁciaries play in the planning and execution of the research is an essential part of empowerment. However, one of the challenges of co-designing with consumers experiencing vulnerability is that co-design research does not automatically guarantee participation ( Cole et al.,2 0 2 2).

As a result, we aligned our aims and responsibilities for the grant writing process. Another example was to always include two U3A members in our fortnightly research progress meetings. Strictly speaking, this was not critical to the research goals but demonstrated a commitment to equality in our relationship. Through this Benefit/Difficulty Explanation Reading Beneﬁt 1: Addressing social marketing problems By involving participants in the design process, researchers can gain insights into participant’s unique challenges, preferences and cultural considerations.

This will likely lead to more relevant, effective interventions that the target population will likely embrace Raciti et al. (2022), Rundle-Thiele (2022) Beneﬁt 2: Inclusion of the beneﬁciaries Co-design allows consumers experiencing vulnerability to be active participants in the research process, rather than being treated solely as subjects Sarmiento-Pelayo (2015), Evans and Terrey (2016); Fischer et al. (2020) Beneﬁt 3: Empowering those experiencing vulnerability Co-design helps involve participants in the research process, by giving them a voice and allowing them to contribute to decision-making Baker et al. (2005), Riedel et al. (2022); Russell-Bennett et al. (2023) Beneﬁt 4: Promoting contextualised and relevant solutions Co-design leverages the knowledge and lived experiences of the participants to develop contextually relevant solutions Steen et al. (2011); Cole et al. (2022) Beneﬁt 5: Increasing speed to market and users due to better quality of products, and higher satisfaction Co-design improves idea generation through shared knowledge generating better quality products, higher satisfaction of customers and increased loyalty Roser et al. (2009); Burkett (2012) Difﬁculty 1: Tokenistic participation Co-design might offer only limited opportunities for participation, perpetuating the social exclusion of beneﬁciaries Blomkamp (2018), Moll et al. (2020); Groot and Abma (2022) Difﬁculties 2: Stigmatisation from researchers Designers sometimes assume they know people experiencing vulnerability and overlook opportunities to engage heterogeneous participants and emerging differences Haslwanter and Fitzpatrick(2017); Moll et al. (2020) Difﬁculties 3: Results might not circle back to participants Beneﬁciaries often do not see the results of their own participation and do not feel empowered by the process Long et al. (2017), McElﬁsh et al. (2019) Difﬁculties 4: Power and knowledge imbalances Co-design research often requires participants to have speciﬁc skills or knowledge to actively engage in the process.

Publicise Research participants often want to receive results from studies in which they participate but do not typically receive these results ( Long et al. ,2 0 1 7; McElﬁsh et al. , 2019 ). Sometimes beneﬁciaries in co-design research may wait a long time to receive or bene ﬁt from research outcomes. When published, outcomes may appear in an academic journal, a format participants cannot easily access and/or comprehend. Sometimes participant voices are silenced or only represented indirectly. This is problematic because participants often work with researchers to provide visibility to their issues/interests – with a promise of moving their agenda forward. In co-design research, it is essential to address this challenge strategically and to build solutions into the design. Otherwise, long-term relationships will erode, as people lose interest due to not seeing the fruits of their labour.

To address this challenge, we purposely designed our research in several stages. We emphasised planning the ﬁrst stage in a way that would allow the direct publication of data featuring our participants. The purpose was to give voice to our participants and give visibility to their agenda. This was at the start of the covid-19 pandemic, and U3A needed its members to quickly upskill and join online classes instead of their previous classroom approach. Our design featured interviews with seniors about their perceptions of the risk involved with using ICT. As soon as the interviews were completed, we organised their perceptions of risk into categories and themes and published 22 short vignettes via YouTube on our website. Doing so required additional consent from participants, one for human subject research and one for media release. Once the vignettes were available, we supplied a direct link to all participants.

Co-designing with consumers experiencing vulnerability usually requires additional resources to support contributions. The ﬁrst step is to ensure that adequate resources are available. The next, equally important, step is to ensure that the resources are allocated where needed and that the participants have the necessary training to deploy them. Thus, focusing on enabling participants to contribute can empower them despite any vulnerability they may experience. Reﬂect When co-designing research, things will always go “wrong” ( Yip et al. ,2 0 1 6). Researchers cannot foresee and plan every stage of the research process, and researchers and participants need to continuously adapt to and learn to work towards a shared, new understanding. Addressing this challenge means building a research design that includes moments of re ﬂection and opportunities for changing direction.

The EMPOWER framework offers a set of easy-to-remember guidelines for ensuring that co-design is conducted using a strength-based approach in which the interests of the codesigning participants are considered at every step of the process. EMPOWER is based on lessons learned in the ﬁeld through ﬁve years of working with older adults. These guidelines are not context-speci ﬁc and, as such, can be applicable to other groups experiencing vulnerability.",outputs/batch1/canonical_text_284/1e7ab64c6cf9.txt,Bernardo Figueiredo; T. Aleti; Diane M. Martin; Mike Reid; Jacob Sheahan; Larissa Hjorth,2023,Journal of Services Marketing,,https://www.semanticscholar.org/paper/66872f88e4301696a2c140413d0072fc0e04dd88,DF-C01,0,learning | activities | co-design | learning activities | feedback | online | participants | vulnerability | experiencing | interaction | experiencing vulnerability | online learning | learning designs | terminology | social,"Design frameworks — Learning, activities & co-design [DF-C01]",learning | activities | co-design | learning activities | feedback | online | participants | vulnerability | experiencing | interaction | experiencing vulnerability | online learning | learning designs | terminology | social,"Within the predefined Design frameworks group, DF-C01 is statistically distinguished by learning, activities, co-design. Additional contrastive terms include learning activities, feedback, online, participants, vulnerability. Representative papers include Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults; The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities. This is an analysis-frozen statistical interpretation, not a final editorial topic label.",Design frameworks,Statistical bottom-up interpretation,Analysis frozen; confirmation by at least two reviewers pending,Contrastive cluster explanation using adapted class-based TF-IDF; not a predefined codebook classification.,Not assigned by Path 1,Not evaluated in this statistical interpretation,Not applicable,Predefined keyword group,Not assigned,BGE-M3 embedding + Spectral clustering,Not assigned,Adapted class-based TF-IDF interpretation,not_applicable,-1,0.0,learning | activities | co-design | learning activities | feedback | online | participants | vulnerability | experiencing | interaction | experiencing vulnerability | online learning | learning designs | terminology | social,False,False,0,,,7.1110296,15.380787,0.06885755062103271,1,1,True,"[{'paper_id': '268903a30da5', 'title': 'Systematic Review of Systemic Design Frameworks for Complex Challenges', 'cluster': 1, 'distance': 0.24858349561691284}, {'paper_id': '660ca24145b2', 'title': 'The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities', 'cluster': 0, 'distance': 0.2659475803375244}, {'paper_id': '560be0c20de7', 'title': 'Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems', 'cluster': 1, 'distance': 0.2995188236236572}, {'paper_id': 'e09769771b82', 'title': 'The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games', 'cluster': 1, 'distance': 0.3026297688484192}, {'paper_id': '7afa6519f6fc', 'title': 'The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games', 'cluster': 1, 'distance': 0.3093562126159668}]"
268903a30da5,Design frameworks,Systematic Review of Systemic Design Frameworks for Complex Challenges,"Systemic design has been noted as a promising scaffold to approach the emerging challenges faced by designers in understanding the dynamic and interconnected problems that define contemporary reality. The field can briefly be described as an attempt to integrate systems and design thinking with complexity and solution-oriented methods. While a range of literature on systemic design is available, its defining framework remains elusive and further development is needed to understand and investigate its viability. This article employs a systematic qualitative literature review in order to explore and synthesise existing systemic design mindsets, processes, and methods. The synthesis of frameworks acts to provide greater insight into the orchestration of applying systemic design to complex problems. It concludes by identifying potential challenges and limitations within the field. In particular, a limited investigation of consumer behaviour is present, with more focus given to material and production throughput.",12,12,268903a30da5_p0004;268903a30da5_p0007;268903a30da5_p0009;268903a30da5_p0010;268903a30da5_p0011;268903a30da5_p0013;268903a30da5_p0015;268903a30da5_p0020;268903a30da5_p0021;268903a30da5_p0035;268903a30da5_p0037;268903a30da5_p0039,"In saying this, the field of systemic design is still young and is constantly adapting. Due to the wide range of approaches associated with systems thinking, the literature surrounding systemic design is complex and multifaced (Battistoni et al., 2016, p. 885). This review aims to map and make sense of current systemic design frameworks in order to identify key mindsets, processes and methods. It is not a direct response to a specific set of principles, but rather aspires to create a holistic view of the cu rrent situation, highlight trends, illuminate

The terms selected were tested by conducting an initial search acros s multiple databases, after a period of trial and error, the following search terms were deemed most effective: (“systemic design”) AND (“framework” OR “model” OR “principles” OR “methods”). Resources were identified by searching two prominent databases —Google Scholar and Web of Science. To refine the Google Scholar results the search was restricted to the title field, while the Web of Science search included the topic. A timeframe of 2000 –2020 was used to consolidate the search efforts. The title, abstract and keywords were screened to determine if a publication was relevant to the guiding research questions. The selected publications were then read in full, and the quality assessment checklist was used to determine if they should be included in the systematic literature review.

Systemic design research has seen a steady increase in publications since 2009 with an emerging focus on sense -making practices using visualisations. Two of the most notable and developed theories have formed in Italy and between Canada and Norway. In 2018 these major schools of thought were brought together with the formation of the Systemic Design Association (SDA). To verify the extent of influence the two frameworks have had on each

other and in relation to other countries, is important to visualise the dynamics of systemic design frameworks on a global scale. Thus, the author’s country of residence, where the journals were published, and which papers are connected via references were analysed to build a landscape of the current body of work. As shown in Figure 1, little cross -pollination between the two major philosophies has occurred. Of the 19 Italian papers in the review, only

Norwegian connections to Italian work have remained absent, and sources from other countries reference either Italian papers or Canadian and Norwegian papers—but rarely both. systematic review and visually connect the papers that reference each other. To get a clearer view of the design aids that have had the most influence on the field of systemic design, Table 1 provides a summary of the papers with the most citations, their topic and the date they were published. They have been grouped by their topic and then arranged from most cited to least. Many of the design aids are in the form of literature reviews, which, in some instances, are supported by case studies. Topic Application Area Reference Cited Location Framework General complexity Stolterman and Nelson (2012) 1318 USA General complexity Jones (2014b) 164 Canada General complexity Ryan (2014) 35 Canada Sustainable production Bistagnino (2011) 22 Italy Policymaking Barbero (2017b) 14 Italy General complexity Zivkovic (2018) 9 Australia Healthcare Jones (2013) 4 Canada Sustainable production Battistoni and Barbero (2017) 3 Italy Sustainable entrepreneurship Battistoni and Barbero (2019) 3 Italy Sustainable production Battistoni et al. (2019) 3 Italy

The majority of frameworks exist within the academic arena and are taught in universities, including the Master of Science in Systemic Design at Politecnico di Torino (Italy), the Master of Design in Strategic Foresight and Innovation at OCAD University (C anada), and the Master of Systems Oriented Design at the Oslo School of Architecture and Design (Norway) (Barbero, 2018). Part of the reason systemic design is so prominent in the realm of academia may be due to the complexity of the field, along with the fact that the discipline is still young and evolving. Consequently, many frameworks have generally been confined to the classroom, with a limited number of real -world applications beyond the domain of design education. An exception to this is the methodology developed at Politecnico di Torino in Italy, which is supported by a plethora of case studies and real -world projects.

Considering the variety of application areas that systemic design can be used to address, along with its inclusive a0nd wide -ranging nature, it is unsurprising that the field is being researched across multiple disciplines, as seen in Figure 3. As expected , most of the publications came from the field of Design (56%), followed by Business and Economics (10%) Environmental Sciences (8%) and Systems Sciences (8%). The results indicate that while systemic design has a strong foundation in Design, other discipl ines are also beginning to acknowledge its relevance.0 While frameworks outside of scholarly literature exist, they exhibit a lack of referencing, making it difficult to determine the origin of the information. In addition, there are a variety of terms associated with the field that exist both in and out of ac ademia (systems-led design, systems-oriented design, whole systems design, and system thinking for design).

They provide guidance and a foundation that supports human -centred design for complex, multi-stakeholder systems (Jones, 2014b). Systemic design processes The systemic design process assists in applying methods in a sequential order from the initial stages of a project, through to completion. The processes revealed in the literature vary slightly in their order and terminology, but in general, follow a gener ic design thinking process. Van Patter and Paster (2016) have mapped over 80 innovation processes across various disciplines and found that four stages are applicable across all innovation frameworks:

3. Optimisatio0n and planning, 4. Evaluation and measurement. Each of these phases can be found in the systemic design frameworks that were extracted from the systematic review. A summary of these processes and their source can be seen in Table 2. In total, seven frameworks were collated and documented in chronological order, from the oldest to the most recent. Where the same process was used in different papers, only the most recent publication has been presented. The approach documented by researchers Battistoni, Giraldo and Barbero (2019) is of particular interest, as it is not only the most current framework, but has also been developed and tested over the pa st sixteen years at Politecnico di Torino. Furthermore, the framework draws strong parallels with the methodology developed by Alex Ryan (2014). The basic structure of these frameworks has been summarised into six main steps: (1) Inquiry, (2) Identificatio n of leverage points, (3) Designing the system, (4) Analysis, (5) Implementation, and (6) Feedback.

Moving forward, the integration of indigenous and local knowledge into systemic design should be prioritised. As poin ted out by Arturo Escobar (2018) contexts like Latin America, “a land with an intense historical dialectic of commonality and diversity, might be offering to the rest of the world particularly valuable elements for the pensamiento para la transición (the thought for the transition)” (p. 167).

What this review revealed was that current systemic design frameworks aim to integrate design and systems thinking methods in order to expose hidden relationships within a system, facilitate collaboration among stakeholders and identify opportunities for t ransition. A

Moreover, deeper insight into sustainable consumption transitions and the initiation of grassroot initiatives needs to be incorporated into systemic design approaches. This could involve exploring industry incentives and government policy for transparen t production models that prioritise ecosystem preservation and human well -being. Finally, in relation to the existing systemic design philosophy, different knowledge systems, localities and psychologies are required to activate more inclusive interpretations of system dynamics.",outputs/batch1/canonical_text_284/268903a30da5.txt,Skye Smith; Eleni Kalantidou,2025,Strategic Design Research Journal,,https://www.semanticscholar.org/paper/0ad5afc83d67ef0110cda1d9f605336b53447b1a,DF-C02,1,game | experience | player | learning | service | dynamics | systemic | elements | AI | view | components | aspects | mechanics | entertainment | literature,"Design frameworks — Game, experience & player [DF-C02]",game | experience | player | learning | service | dynamics | systemic | elements | AI | view | components | aspects | mechanics | entertainment | literature,"Within the predefined Design frameworks group, DF-C02 is statistically distinguished by game, experience, player. Additional contrastive terms include learning, service, dynamics, systemic, elements. Representative papers include The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games; The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games. This is an analysis-frozen statistical interpretation, not a final editorial topic label.",Design frameworks,Statistical bottom-up interpretation,Analysis frozen; confirmation by at least two reviewers pending,Contrastive cluster explanation using adapted class-based TF-IDF; not a predefined codebook classification.,Not assigned by Path 1,Not evaluated in this statistical interpretation,Not applicable,Predefined keyword group,Not assigned,BGE-M3 embedding + Spectral clustering,Not assigned,Adapted class-based TF-IDF interpretation,not_applicable,-1,0.0,game | experience | player | learning | service | dynamics | systemic | elements | AI | view | components | aspects | mechanics | entertainment | literature,False,False,0,,,7.463107,16.33389,0.10713851451873779,3,3,True,"[{'paper_id': 'e09769771b82', 'title': 'The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games', 'cluster': 1, 'distance': 0.22954034805297852}, {'paper_id': '7afa6519f6fc', 'title': 'The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games', 'cluster': 1, 'distance': 0.23451769351959229}, {'paper_id': '1e7ab64c6cf9', 'title': 'Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults', 'cluster': 0, 'distance': 0.24858349561691284}, {'paper_id': '560be0c20de7', 'title': 'Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems', 'cluster': 1, 'distance': 0.26155298948287964}, {'paper_id': '660ca24145b2', 'title': 'The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities', 'cluster': 0, 'distance': 0.26784205436706543}]"
