keyword,paper_count,k,kmeans_inertia,elbow_chord_distance,elbow_selected
Design Guidelines,29,1,8.877994537353516,0.0,False
Design Guidelines,29,2,8.252815246582031,0.04411168369943463,True
Design Guidelines,29,3,7.803746223449707,0.026000078627780657,False
Design Guidelines,29,4,7.326355934143066,0.01789494476959447,False
Design Guidelines,29,5,6.876673698425293,0.0,False
Design Heuristics,14,1,2.7707552909851074,0.0,False
Design Heuristics,14,2,2.1744003295898438,0.09564459187397176,True
Design Heuristics,14,3,1.8232882022857666,0.055027315602097004,False
Design Heuristics,14,4,1.4981111288070679,0.0,False
Design Patterns,102,1,24.28609848022461,0.0,False
Design Patterns,102,2,23.098365783691406,0.07086933857813872,False
Design Patterns,102,3,22.15330696105957,0.09836409846997153,True
Design Patterns,102,4,21.456897735595703,0.08141620228064826,False
Design Patterns,102,5,20.728614807128906,0.0701652870505789,False
Design Patterns,102,6,20.32994842529297,0.0,False
Design Rules,12,1,3.0818045139312744,0.0,False
Design Rules,12,2,2.5801734924316406,0.03270932653578816,True
Design Rules,12,3,2.167282819747925,0.017935668906619903,False
Design Rules,12,4,1.7603015899658203,0.0,False
Design frameworks,7,1,1.5305190086364746,,False
Design frameworks,7,2,1.0587166547775269,,True
Design knowledge,121,1,27.292835235595703,0.0,False
Design knowledge,121,2,25.776216506958008,0.07335677538495353,False
Design knowledge,121,3,24.41253089904785,0.12505570802222626,True
Design knowledge,121,4,23.542282104492188,0.10687588020062135,False
Design knowledge,121,5,22.8282470703125,0.0665736171527432,False
Design knowledge,121,6,22.29972267150879,0.0,False
Design methods,38,1,9.165695190429688,0.0,False
Design methods,38,2,8.565603256225586,0.06449909901681276,False
Design methods,38,3,8.091675758361816,0.08570510128081248,True
Design methods,38,4,7.74409294128418,0.06355615623840764,False
Design methods,38,5,7.455754280090332,0.021077686909167757,False
Design methods,38,6,7.1050496101379395,0.0,False
Design principles,21,1,5.782148361206055,0.0,False
Design principles,21,2,5.230835437774658,0.04837010783814117,True
Design principles,21,3,4.836085319519043,0.03280263399264423,False
Design principles,21,4,4.431512832641602,0.02124644811161436,False
Design principles,21,5,4.050668716430664,0.0,False
Design rationale,24,1,4.2202067375183105,0.0,False
Design rationale,24,2,3.72296142578125,0.0775176447336296,True
Design rationale,24,3,3.409447193145752,0.07413779690913966,False
Design rationale,24,4,3.116495132446289,0.06170434661680227,False
Design rationale,24,5,2.8521037101745605,0.03669553865519659,False
Design rationale,24,6,2.6142547130584717,0.0,False
Design theory,85,1,20.551786422729492,0.0,False
Design theory,85,2,19.36530876159668,0.1036346072186664,False
Design theory,85,3,18.538330078125,0.13301803279428806,True
Design theory,85,4,17.945556640625,0.11402853566082458,False
Design theory,85,5,17.360244750976562,0.09349792497964221,False
Design theory,85,6,17.128215789794922,0.0,False
