keyword,paper_count,config,k,elbow_estimated_k,smallest_cluster,largest_cluster,silhouette_cosine,cohesion_ratio,within_cosine_mean,global_cosine_mean,within_pair_count,permutation_rho_mean,permutation_rho_sd,permutation_adjusted_z_rho,permutation_p_greater_equal,bootstrap_pairwise_ari_mean,bootstrap_pairwise_ari_min,bootstrap_pairwise_ari_sd,bootstrap_reference_ari_mean,bootstrap_reference_ari_min,bootstrap_reference_ari_sd,passes_numeric_rule
Design Guidelines,29,spectral_knn10_k2,2,2,14,15,0.05909007415175438,1.0148254711308065,0.693053662776947,0.6829289197921753,196,1.000031672998101,0.002434408082320891,6.076959011161999,0.000999000999000999,0.42965334608541395,-0.11475409836065574,0.32324060131411697,0.3511928193526602,-0.044735030970406056,0.23955557328815832,False
Design Guidelines,29,spectral_knn10_k3,3,2,6,12,0.04766469448804855,1.0246188440452777,0.6997418403625488,0.6829289197921753,136,0.9998722640758844,0.005324873121251778,4.647355797198014,0.000999000999000999,0.40680202091259676,-0.0701195219123506,0.23619221086913733,0.3411448531225878,0.0672729187879639,0.16493477902275197,False
Design Guidelines,29,spectral_knn10_k4,4,2,4,11,0.05922556295990944,1.0309711087251257,0.7040799856185913,0.6829289197921753,104,1.0000499883658476,0.007063328990748397,4.377697881520002,0.000999000999000999,0.3195323218744041,-0.10401761144744083,0.19117223986461865,0.3227554868571334,-0.00354295837023915,0.16124587513098632,False
Design Guidelines,29,spectral_knn10_k5,5,2,2,9,0.05687085911631584,1.038563418698745,0.7092649936676025,0.6829289197921753,86,0.9999377590300835,0.007627679515976567,5.06388077629087,0.000999000999000999,0.28625649619434423,-0.13990066225165562,0.1706323638380783,0.24287183087339625,0.012813719350643094,0.13419258331502207,False
Design Heuristics,14,spectral_knn10_k2,2,2,3,11,0.30285564064979553,1.035406845424448,0.8147252798080444,0.7868648767471313,58,1.0007996384020423,0.009358490663974846,3.697947485872358,0.004995004995004995,0.565068638557842,-0.16883116883116883,0.39009805170851547,0.4566845000123123,-0.011826544021024968,0.2122728686058015,False
Design Heuristics,14,spectral_knn10_k3,3,2,2,10,0.32668474316596985,1.0503523792397202,0.8264853954315186,0.7868648767471313,47,0.9999410548212986,0.011891464732201472,4.239286375034221,0.001998001998001998,0.3937656540293294,-0.2923076923076923,0.3380098116386184,0.4537362908281052,0.05172413793103448,0.24508202543763646,False
Design Heuristics,14,spectral_knn10_k4,4,2,2,7,0.22968690097332,1.0737917836302537,0.844929039478302,0.7868648767471313,26,1.0004624954985841,0.015698110429375044,4.671217498537429,0.000999000999000999,0.2376058631879129,-0.3333333333333333,0.2833921188031078,0.23924491490947036,-0.09022556390977443,0.20242494200405797,False
Design Patterns,102,spectral_knn10_k2,2,3,11,91,0.1570756435394287,1.011353660319483,0.7681671977043152,0.7595435976982117,4150,0.9999355250522501,0.0029654081140462825,3.850443118823506,0.000999000999000999,0.40201787151438034,-0.07958477508650519,0.3341511044619612,0.44396060187763664,-0.03770440579106343,0.37576673895484,False
Design Patterns,102,spectral_knn10_k3,3,3,11,53,0.08796446770429611,1.0260875222190144,0.7793582081794739,0.7595435976982117,2136,1.0000223625830817,0.002935959193843895,8.877902557564832,0.000999000999000999,0.6747158274751563,0.04952881187405166,0.16243908022969406,0.7040661396809217,0.37115379556843375,0.1315252072422233,False
Design Patterns,102,spectral_knn10_k4,4,3,9,54,0.09329627454280853,1.0319063908441848,0.7837778925895691,0.7595435976982117,1900,1.0000480518482775,0.0044258267755490285,7.1982796913589615,0.000999000999000999,0.7028395036445196,0.3055793724707066,0.11870804901836905,0.7800075079284606,0.5047628590883305,0.09800578250185751,False
Design Patterns,102,spectral_knn10_k5,5,3,5,55,0.11428307741880417,1.0332294673785123,0.7847828269004822,0.7595435976982117,1897,1.0001002763315185,0.004771495879384444,6.94314568941169,0.000999000999000999,0.6522812548052982,0.1757925935141125,0.17852909826364385,0.7153146862088111,0.3127535113647441,0.15719493300042386,False
Design Patterns,102,spectral_knn10_k6,6,3,5,31,0.07620042562484741,1.0334451932025255,0.7849466800689697,0.7595435976982117,1171,0.9999982268734108,0.0036860476663800154,9.073937549473476,0.000999000999000999,0.48103572919759674,0.1508160730588681,0.13485968908695153,0.47467428668056255,0.2990297394834257,0.09102156198217744,False
Design Rules,12,spectral_knn10_k2,2,2,3,9,0.17957843840122223,1.042747754069875,0.750607430934906,0.7198360562324524,39,0.9996935880190563,0.014471357182091457,2.975129803588777,0.003996003996003996,0.4239530512591674,-0.16883116883116883,0.43242160545080965,0.3416776583168566,0.04833836858006042,0.29061227841669496,False
Design Rules,12,spectral_knn10_k3,3,2,1,7,0.08340553194284439,1.0395412372069976,0.7482992644820895,0.7198360562324524,28,1.0001700088208942,0.016665884749093352,2.3623845345651544,0.016983016983016984,0.4628445531788688,-0.2923076923076923,0.34186611083900537,0.4696254389670469,-0.027805362462760674,0.240882236854575,False
Design Rules,12,spectral_knn10_k4,4,2,1,5,0.014597120694816113,1.0481569712766685,0.754501180516349,0.7198360562324524,18,1.0006027651905591,0.01837799456855946,2.5875623103874315,0.00999000999000999,0.26709264579452124,-0.3018867924528302,0.31341032870381175,0.18508943722542565,-0.16236162361623616,0.24581278138588789,False
Design frameworks,7,spectral_knn10_k2,2,2,3,4,0.20469702780246735,1.053237203758553,0.7845706939697266,0.7449135780334473,9,0.999511454301218,0.020635807093616048,2.603520628662769,0.03296703296703297,0.8592592592592594,0.16666666666666666,0.30764608252131814,0.9256756756756758,0.32432432432432434,0.21247705252379737,True
Design knowledge,121,spectral_knn10_k2,2,3,9,112,0.0869256779551506,1.001964524982365,0.7740775346755981,0.7725598216056824,6252,1.0000916928514607,0.0020034191761470017,0.9348179118990616,0.1798201798201798,0.7447611316275115,-0.05745062836624776,0.3963501628646301,0.7613581549245313,-0.027891573504602453,0.29249239779557623,False
Design knowledge,121,spectral_knn10_k3,3,3,9,58,0.08622796088457108,1.0143226007246284,0.7836248874664307,0.7725598216056824,3120,1.0000125018101822,0.0018754044450445771,7.630406844911841,0.000999000999000999,0.5926603889879312,0.04052337734501098,0.1705108094129989,0.6433025276300084,0.2517814726840855,0.12285898238009814,False
Design knowledge,121,spectral_knn10_k4,4,3,9,42,0.0887899249792099,1.0215694242359412,0.7892234921455383,0.7725598216056824,2096,0.9998992593625861,0.0019433429133029344,11.150973266228256,0.000999000999000999,0.488784415623637,0.15354908116699148,0.16553661587624155,0.5688524738168944,0.25433648494602024,0.1856522539821071,False
Design knowledge,121,spectral_knn10_k5,5,3,9,31,0.08397051692008972,1.026606070345934,0.7931146025657654,0.7725598216056824,1567,1.0000204004921383,0.001936517408668039,13.728598428702897,0.000999000999000999,0.48639302299336346,0.1891552730851343,0.12715619841401318,0.5268954297101809,0.26543518414564937,0.12128220440627274,False
