k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.06359308995495858,4,13,0:13; 1:4,4
3,0.10204099318753768,3,9,0:9; 1:3; 2:5,2
4,0.16295438063447906,2,8,0:8; 1:2; 2:5; 3:2,1
5,0.18126240816457284,2,5,0:4; 1:4; 2:2; 3:2; 4:5,2
6,0.20299931401647028,2,4,0:2; 1:4; 2:2; 3:4; 4:3; 5:2,3
7,0.2302178555152528,2,3,0:3; 1:2; 2:2; 3:3; 4:2; 5:3; 6:2,1
8,0.24008213716696936,1,3,0:1; 1:2; 2:2; 3:2; 4:3; 5:2; 6:2; 7:3,1
