k,average_silhouette,min_cluster_size,max_cluster_size,max_cluster_ratio,cluster_sizes,negative_silhouette_count,negative_silhouette_ratio,close_to_best,passes_size_floor,passes_balance_floor,passes_negative_floor,selection_candidate
2,0.22983271716228124,2,12,0.8571428571428571,0:2; 1:12,2,0.14285714285714285,True,False,True,True,False
3,0.2215334748366086,2,7,0.5,0:7; 1:2; 2:5,1,0.07142857142857142,True,False,True,True,False
