k,average_silhouette,min_cluster_size,max_cluster_size,cluster_sizes,negative_silhouette_count
2,0.028807038398656972,20,67,0:67; 1:20,22
3,0.03959573627002115,23,40,0:23; 1:24; 2:40,19
4,0.03986896077099255,9,36,0:27; 1:9; 2:15; 3:36,31
5,0.045788903157392764,13,24,0:14; 1:13; 2:14; 3:22; 4:24,28
6,0.06064939220652704,4,22,0:4; 1:15; 2:14; 3:13; 4:19; 5:22,24
7,0.055639559800685766,4,18,0:12; 1:18; 2:4; 3:12; 4:16; 5:14; 6:11,37
8,0.0628159340626923,5,17,0:5; 1:12; 2:10; 3:16; 4:10; 5:17; 6:9; 7:8,35
